Company,Rating,Review
OneTravel,"Very polite, answer all my questions, friendly, excellent customer service. I strongly recommend One Travel to all family and friends. And the best is get in touch with the me to make sure I have everything that I need, for my next trip One Travel is main choice. Thank you very.",
OneTravel,The service was excellent but I have not received the booking confirmation to my email. Please assist. I want to print in order to have a hard copy to take to the airport. How long will it take to have my booking confirmation number by email? I will cancel my payment for the book because your system is complicated.,
OneTravel,Feedback already submitted twice.- Overall the service was very satisfactory and the platform user friendly however the pricing variance was deceptive. Thought I was paying the advertising rate of $2500 but was charged $3500. Disappointed but will know better next time.,
OneTravel,"Planning and booking my vacations with OneTravel has always been a pleasure. The different travel options presented when searching for flights has made planning a trip easy. My experience has also made me recommend this option to my friends. I also love the options for booking hotel and transportation and the prices are great. Compared to other travel sites I have used in the past, One Travel has been the best so far.",
OneTravel,"I needed to fly to and from my home state for an unexpectedly quick flight to handle a delivery in my home state and was able to do it in a few minutes. I was able to book for the next day and return within the week. I got desirable seats and departure and arrival times are satisfactory. The seats are practical for me, and I have flown with this airline before.",
OneTravel,"Support from ONE TRAVEL, via AURICk, was truly fab. Patient, persistent, all the good things and I was able to complete my order. SPIRIT on the other hand was THE WORST AIRLINE I have ever dealt with (and I have lived and traveled all over the world). You almost have to pay for the oxygen in the cabin. Their website was poorly designed and difficult to use. I don't know why One Travel supports them.",
OneTravel,I thank you one travel for your help and understanding. I really liked your service it's the second time I use this and I loved it a lot. Congratulations. Just one thing if you can add Spanish to customer service it's I was in Vancouver for a long time and I really like to go back and use OneTravel again.,
OneTravel,I think you did a good job. Your website worked well for me. One of your people just called and I am typing this as we speak. He did a good job. He made sure that all my seats were aisle seats. Thank you. Have a nice day and thanks for everything.,
OneTravel,"The ease of use was great but in the end the flight wasn’t the cheapest because of the bag fees and the seat selection fees both ways, not to mention if you would like priority boarding. A $213.81 fee plus $45 each way for a carry on, seats start at $9 each way and priority boarding cost $12 for each flight. So with all this it comes to 345.81. So is it really the cheapest???? Not.",
OneTravel,"It was easy to search a country that I want to go and fast too, I definitely will recommend to my friend or a coworker search on this website. Thank you for a good service and a thumb up, one I was confused about Hahn Air, it doesn’t show, how many kilometers for carries bag",
